"location_iso3","year","age","sex_id","vaccine","observed_coverage","disease","impact_factor","target_fvps","target_deaths_averted","old_pop","new_pop","target_coverage","observed_fvps","observed_deaths_averted","location_name","region","income_group"
"AFG",2020,0,3,"HepB",0.7,"HepB",0.00428499952276539,885099.332,3792.65021521997,1169006,1324999,0.668,927499.3,3974.33405786523,"Afghanistan","EMRO","Low income"
"AFG",2020,0,3,"HepB_BD",0.38,"HepB",0.000914165550724063,280369.7884,256.304402019075,1169006,1324999,0.2116,503499.62,460.282007406656,"Afghanistan","EMRO","Low income"
"AFG",2020,0,3,"Hib3",0.7,"Hib",0.0042478401733636,885364.3318,3760.88617668326,1169006,1324999,0.6682,927499.3,3939.86878730662,"Afghanistan","EMRO","Low income"
"AFG",2020,0,3,"MCV1",0.66,"Measles",0.0166831142725156,865356.8469,14436.8471633365,1169006,1324999,0.6531,874499.34,14589.3724204595,"Afghanistan","EMRO","Low income"
"AFG",2020,0,3,"PCV3",0.68,"PCV",0.00407474086762845,900071.8207,3667.55943160704,1169006,1324999,0.6793,900999.32,3671.33875090944,"Afghanistan","EMRO","Low income"
"AFG",2020,0,3,"Rota",0.62,"Rota",0.00139639288512783,852239.3568,1190.06097426144,1169006,1324999,0.6432,821499.38,1147.13588936892,"Afghanistan","EMRO","Low income"
"AFG",2020,2,3,"MCV2",0.43,"Measles",0.0020672064900178,519362.616,1073.62977046782,1131278,1256016,0.4135,540086.88,1116.47110350946,"Afghanistan","EMRO","Low income"
"AFG",2021,0,3,"BCG",0.84,"TB",0.00144542007802254,1054828.32,1524.67003259478,1174821,1352344,0.78,1135968.96,1641.95234279438,"Afghanistan","EMRO","Low income"
"AFG",2021,0,3,"DTP3",0.66,"D",0.000213535462861381,892547.04,190.590445311956,1174821,1352344,0.66,892547.04,190.590445311956,"Afghanistan","EMRO","Low income"
"AFG",2021,0,3,"DTP3",0.66,"P",0.00601788574682057,892547.04,5371.24611038289,1174821,1352344,0.66,892547.04,5371.24611038289,"Afghanistan","EMRO","Low income"
"AFG",2021,0,3,"DTP3",0.66,"T",0.000694652793561397,892547.04,620.010294720956,1174821,1352344,0.66,892547.04,620.010294720956,"Afghanistan","EMRO","Low income"
"AFG",2021,0,3,"HepB",0.66,"HepB",0.00428499952276539,903365.792,3870.92198760258,1174821,1352344,0.668,892547.04,3824.56364044566,"Afghanistan","EMRO","Low income"
"AFG",2021,0,3,"HepB_BD",0.39,"HepB",0.000914165550724063,286155.9904,261.593948557006,1174821,1352344,0.2116,527414.16,482.143856036069,"Afghanistan","EMRO","Low income"
"AFG",2021,0,3,"Hib3",0.66,"Hib",0.0042478401733636,903636.2608,3838.50241073431,1174821,1352344,0.6682,892547.04,3791.39717312877,"Afghanistan","EMRO","Low income"
"AFG",2021,0,3,"MCV1",0.63,"Measles",0.0166831142725156,883215.8664,14734.7912264501,1174821,1352344,0.6531,851976.72,14213.624977283,"Afghanistan","EMRO","Low income"
"AFG",2021,0,3,"PCV3",0.65,"PCV",0.00407474086762845,918647.2792,3743.24961149192,1174821,1352344,0.6793,879023.6,3581.79338652988,"Afghanistan","EMRO","Low income"
"AFG",2021,0,3,"Rota",0.59,"Rota",0.00139639288512783,869827.6608,1214.6211568285,1174821,1352344,0.6432,797882.96,1114.15808850873,"Afghanistan","EMRO","Low income"
"AFG",2021,2,3,"MCV2",0.44,"Measles",0.0020672064900178,530532.4915,1096.72020959411,1143652,1283029,0.4135,564532.76,1167.00578529966,"Afghanistan","EMRO","Low income"
"AGO",2019,0,3,"BCG",0.69,"TB",0.00271663442947494,832910.04,2262.71209131935,1183837,1207116,0.69,832910.04,2262.71209131935,"Angola","AFRO","Lower middle income"
"AGO",2019,0,3,"DTP3",0.57,"D",0.000221111249109346,688056.12,152.13694815053,1183837,1207116,0.57,688056.12,152.13694815053,"Angola","AFRO","Lower middle income"
"AGO",2019,0,3,"DTP3",0.57,"P",0.00851660954386841,688056.12,5859.90531830907,1183837,1207116,0.57,688056.12,5859.90531830907,"Angola","AFRO","Lower middle income"
"AGO",2019,0,3,"DTP3",0.57,"T",0.000620322336375477,688056.12,426.816579915846,1183837,1207116,0.57,688056.12,426.816579915846,"Angola","AFRO","Lower middle income"
"AGO",2019,0,3,"HepB",0.53,"HepB",0.0125269078075365,726200.372170123,9097.04511197382,1183837,1207116,0.601599491821932,639771.48,8014.35834785118,"Angola","AFRO","Lower middle income"
"AGO",2019,0,3,"Hib3",0.53,"Hib",0.0077656173309816,726200.372170123,5639.39419588959,1183837,1207116,0.601599491821932,639771.48,4968.22049295575,"Angola","AFRO","Lower middle income"
"AGO",2019,0,3,"MCV1",0.51,"Measles",0.0331965000753089,613093.698512642,20352.5650088463,1183837,1207116,0.507899570971342,615629.16,20436.7334563024,"Angola","AFRO","Lower middle income"
"AGO",2019,0,3,"PCV3",0.53,"PCV",0.00688058978609997,863570.056932357,5941.87131331054,1183837,1207116,0.715399395693833,639771.48,4402.00511072606,"Angola","AFRO","Lower middle income"
"AGO",2019,0,3,"Rota",0.58,"Rota",0.00218179537440564,835806.412384629,1823.55856443936,1183837,1207116,0.692399415122183,700127.28,1527.5344609992,"Angola","AFRO","Lower middle income"
"AGO",2019,0,3,"Rubella",0.51,"Rubella",0.000742964060868137,659567.625255577,490.035041277037,1183837,1207116,0.546399538449972,615629.16,457.39034070244,"Angola","AFRO","Lower middle income"
"AGO",2019,0,3,"YF",0.45,"YF",0.0012317435780586,343907.057897719,423.605310014543,1183837,1207116,0.284899759341869,543202.2,669.085821437303,"Angola","AFRO","Lower middle income"
"AGO",2019,2,3,"MCV2",0.45,"Measles",0.00551782463580272,422008.0092,2328.56618966982,1135266,1123557,0.3756,505600.65,2789.81572244787,"Angola","AFRO","Lower middle income"
"AGO",2019,9,3,"HPV",0,"HPV",0.0239544564182897,78900.6040001711,1890.02107989883,935016,449048,0.17570639219008,0,0,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"BCG",0.58,"TB",0.00271663442947494,851660.79,2313.65102434783,1211119,1234291,0.69,715888.78,1944.80810742281,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"DTP3",0.51,"D",0.000221111249109346,703545.87,155.561906121422,1211119,1234291,0.57,629488.41,139.186968634956,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"DTP3",0.51,"P",0.00851660954386841,703545.87,5991.8254709912,1211119,1234291,0.57,629488.41,5361.10700036055,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"DTP3",0.51,"T",0.000620322336375477,703545.87,436.425217825718,1211119,1234291,0.57,629488.41,390.485721212484,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"HepB",0.47,"HepB",0.0125269078075365,742549.4656,9301.8486981067,1211119,1234291,0.6016,580116.77,7267.06929539586,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"Hib3",0.47,"Hib",0.0077656173309816,742549.4656,5766.35499917448,1211119,1234291,0.6016,580116.77,4504.96484310507,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"MCV1",0.44,"Measles",0.0331965000753089,626896.3989,20810.7663532947,1211119,1234291,0.5079,543088.04,18028.6221607594,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"PCV3",0.53,"PCV",0.00688058978609997,883011.7814,6075.64184410678,1211119,1234291,0.7154,654174.23,4501.10452526781,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"Rota",0.39,"Rota",0.00218179537440564,854623.0884,1864.61270113138,1211119,1234291,0.6924,481373.49,1050.2584538435,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"Rubella",0.44,"Rubella",0.000742964060868137,674416.6024,501.067297635996,1211119,1234291,0.5464,543088.04,403.494895607317,"Angola","AFRO","Lower middle income"
"AGO",2020,0,3,"YF",0.3,"YF",0.0012317435780586,351649.5059,433.142020619805,1211119,1234291,0.2849,370287.3,456.099003811658,"Angola","AFRO","Lower middle income"
"AGO",2020,2,3,"MCV2",0.41,"Measles",0.00551782463580272,432436.9188,2386.11108398526,1159531,1151323,0.3756,472042.43,2604.64734939818,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"BCG",0.56,"TB",0.00271663442947494,871018.74,2366.23949780188,1242848,1262346,0.69,706913.76,1920.42625908558,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"DTP3",0.45,"D",0.000221111249109346,719537.22,159.097773494866,1242848,1262346,0.57,568055.7,125.603505390684,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"DTP3",0.45,"P",0.00851660954386841,719537.22,6128.01755502054,1242848,1262346,0.57,568055.7,4837.90859606885,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"DTP3",0.45,"T",0.000620322336375477,719537.22,446.345009419516,1242848,1262346,0.57,568055.7,352.377639015407,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"HepB",0.41,"HepB",0.0125269078075365,759427.3536,9513.27644506862,1242848,1262346,0.6016,517561.86,6483.44970491711,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"Hib3",0.41,"Hib",0.0077656173309816,759427.3536,5897.42221873765,1242848,1262346,0.6016,517561.86,4019.18734987107,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"MCV1",0.36,"Measles",0.0331965000753089,641145.5334,21283.7877477971,1242848,1262346,0.5079,454444.56,15085.9688702637,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"PCV3",0.34,"PCV",0.00688058978609997,903082.3284,6213.73904479642,1242848,1262346,0.7154,429197.64,2953.13289800221,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"Rota",0.36,"Rota",0.00218179537440564,874048.3704,1906.99469154551,1242848,1262346,0.6924,454444.56,991.505038931806,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"Rubella",0.36,"Rubella",0.000742964060868137,689745.8544,512.456380951987,1242848,1262346,0.5464,454444.56,337.635975737034,"Angola","AFRO","Lower middle income"
"AGO",2021,0,3,"YF",0.31,"YF",0.0012317435780586,359642.3754,442.98718629669,1242848,1262346,0.2849,391327.26,482.014839424268,"Angola","AFRO","Lower middle income"
"AGO",2021,2,3,"MCV2",0.32,"Measles",0.00551782463580272,442407.5964,2441.12753448219,1182213,1177869,0.3756,376918.08,2079.76786750346,"Angola","AFRO","Lower middle income"
"AGO",2021,9,3,"HPV",0,"HPV",0.0239544564182897,85925.291163241,2058.29364239871,991540,479680,0.179130443552454,0,0,"Angola","AFRO","Lower middle income"
"ALB",2019,0,3,"BCG",0.99,"TB",5.80228820560323e-05,28745.64,1.66790487934516,32550,29036,0.99,28745.64,1.66790487934516,"Albania","EURO","Upper middle income"
"ALB",2019,0,3,"DTP3",0.99,"D",1.58280280604953e-05,28745.64,0.454986796536896,32550,29036,0.99,28745.64,0.454986796536896,"Albania","EURO","Upper middle income"
"ALB",2019,0,3,"DTP3",0.99,"P",0.000780687597355037,28745.64,22.4413646260328,32550,29036,0.99,28745.64,22.4413646260328,"Albania","EURO","Upper middle income"
"ALB",2019,0,3,"DTP3",0.99,"T",9.28476280451368e-05,28745.64,2.66896449063941,32550,29036,0.99,28745.64,2.66896449063941,"Albania","EURO","Upper middle income"
"ALB",2019,0,3,"HepB",0.99,"HepB",0.00700362669251967,28745.64,201.323731597561,32550,29036,0.99,28745.64,201.323731597561,"Albania","EURO","Upper middle income"
"ALB",2019,0,3,"HepB_BD",0.99,"HepB",0.00141980670789959,28745.64,40.8132524948668,32550,29036,0.99,28745.64,40.8132524948668,"Albania","EURO","Upper middle income"
"ALB",2019,0,3,"Hib3",0.99,"Hib",0.000632834512479908,28745.64,18.1912330753229,32550,29036,0.99,28745.64,18.1912330753229,"Albania","EURO","Upper middle income"
"ALB",2019,0,3,"MCV1",0.95,"Measles",0.00550955860383077,27389.6588,150.904930297529,32550,29036,0.9433,27584.2,151.976766439789,"Albania","EURO","Upper middle income"
"ALB",2019,0,3,"PCV3",0.96,"PCV",0.000644418796795995,28455.28,18.3371173000931,32550,29036,0.98,27874.56,17.9628904164178,"Albania","EURO","Upper middle income"
"ALB",2019,0,3,"Rubella",0.95,"Rubella",0.00017180793297239,27398.3696,4.70725724778957,32550,29036,0.9436,27584.2,4.739184384697,"Albania","EURO","Upper middle income"
"ALB",2019,2,3,"MCV2",0.96,"Measles",0.000739452040146989,29507.7177,21.8195420533464,33853,30651,0.9627,29424.96,21.7583467032435,"Albania","EURO","Upper middle income"
"ALB",2020,0,3,"BCG",0.98,"TB",5.80228820560323e-05,28219.95,1.63740283047713,31174,28505,0.99,27934.9,1.62086340794706,"Albania","EURO","Upper middle income"
"ALB",2020,0,3,"DTP3",0.98,"D",1.58280280604953e-05,28219.95,0.446666160465774,31174,28505,0.99,27934.9,0.44215438106713,"Albania","EURO","Upper middle income"
"ALB",2020,0,3,"DTP3",0.98,"P",0.000780687597355037,28219.95,22.0309649629793,31174,28505,0.99,27934.9,21.8084299633532,"Albania","EURO","Upper middle income"
"ALB",2020,0,3,"DTP3",0.98,"T",9.28476280451368e-05,28219.95,2.62015542105236,31174,28505,0.99,27934.9,2.59368920467809,"Albania","EURO","Upper middle income"
"ALB",2020,0,3,"HepB",0.98,"HepB",0.00700362669251967,28219.95,197.64199508157,31174,28505,0.99,27934.9,195.645611292868,"Albania","EURO","Upper middle income"
"ALB",2020,0,3,"HepB_BD",0.99,"HepB",0.00141980670789959,28219.95,40.066874306591,31174,28505,0.99,28219.95,40.066874306591,"Albania","EURO","Upper middle income"
"ALB",2020,0,3,"Hib3",0.98,"Hib",0.000632834512479908,28219.95,17.8585583004574,31174,28505,0.99,27934.9,17.678168822675,"Albania","EURO","Upper middle income"
"ALB",2020,0,3,"MCV1",0.91,"Measles",0.00550955860383077,26888.7665,148.145234816472,31174,28505,0.9433,25939.55,142.915470881998,"Albania","EURO","Upper middle income"
"ALB",2020,0,3,"PCV3",0.92,"PCV",0.000644418796795995,27934.9,18.0017746466164,31174,28505,0.98,26224.6,16.8996251784563,"Albania","EURO","Upper middle income"
"ALB",2020,0,3,"Rubella",0.91,"Rubella",0.00017180793297239,26897.318,4.62117260808106,31174,28505,0.9436,25939.55,4.45662046773396,"Albania","EURO","Upper middle income"
"ALB",2020,2,3,"MCV2",0.94,"Measles",0.000739452040146989,28381.3587,20.9866535928585,33704,29481,0.9627,27712.14,20.491798459839,"Albania","EURO","Upper middle income"
"ALB",2021,0,3,"BCG",0.99,"TB",5.80228820560323e-05,28040.76,1.62700571024151,30469,28324,0.99,28040.76,1.62700571024151,"Albania","EURO","Upper middle income"
"ALB",2021,0,3,"DTP3",0.98,"D",1.58280280604953e-05,28040.76,0.443829936117614,30469,28324,0.99,27757.52,0.43934680544976,"Albania","EURO","Upper middle income"
"ALB",2021,0,3,"DTP3",0.98,"P",0.000780687597355037,28040.76,21.8910735524092,30469,28324,0.99,27757.52,21.6699515973344,"Albania","EURO","Upper middle income"
"ALB",2021,0,3,"DTP3",0.98,"T",9.28476280451368e-05,28040.76,2.60351805458295,30469,28324,0.99,27757.52,2.57721989241545,"Albania","EURO","Upper middle income"
"ALB",2021,0,3,"HepB",0.98,"HepB",0.00700362669251967,28040.76,196.387015214538,30469,28324,0.99,27757.52,194.403307990149,"Albania","EURO","Upper middle income"
"ALB",2021,0,3,"HepB_BD",0.99,"HepB",0.00141980670789959,28040.76,39.8124591426025,30469,28324,0.99,28040.76,39.8124591426025,"Albania","EURO","Upper middle income"
"ALB",2021,0,3,"Hib3",0.98,"Hib",0.000632834512479908,28040.76,17.7451606841661,30469,28324,0.99,27757.52,17.5659166368513,"Albania","EURO","Upper middle income"
"ALB",2021,0,3,"MCV1",0.87,"Measles",0.00550955860383077,26718.0292,147.204547656262,30469,28324,0.9433,24641.88,135.765881968565,"Albania","EURO","Upper middle income"
"ALB",2021,0,3,"PCV3",0.89,"PCV",0.000644418796795995,27757.52,17.8874676404408,30469,28324,0.98,25208.36,16.2447410204003,"Albania","EURO","Upper middle income"
"ALB",2021,0,3,"Rubella",0.87,"Rubella",0.00017180793297239,26726.5264,4.59182925631601,30469,28324,0.9436,24641.88,4.23367046735368,"Albania","EURO","Upper middle income"
"ALB",2021,2,3,"MCV2",0.92,"Measles",0.000739452040146989,27157.767,20.0818662139866,32657,28210,0.9627,25953.2,19.1911466883428,"Albania","EURO","Upper middle income"
"ALB",2021,10,3,"HPV",0,"HPV",0.00202851067207895,4413.12781927155,8.95207687864085,32535,15608,0.282747810050715,0,0,"Albania","EURO","Upper middle income"
"ARE",2019,0,3,"BCG",0.94,"TB",0.000715708567104573,90647.02,64.8768487964996,93300,96433,0.94,90647.02,64.8768487964996,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"DTP3",0.99,"D",0.000206713702512677,95468.67,19.7346822496609,93300,96433,0.99,95468.67,19.7346822496609,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"DTP3",0.99,"P",0.00321134195473603,95468.67,306.582545333849,93300,96433,0.99,95468.67,306.582545333849,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"DTP3",0.99,"T",0.000288044432144673,95468.67,27.4992188377572,93300,96433,0.99,95468.67,27.4992188377572,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"HepB",0.98,"HepB",0.0092209236389294,94504.34,871.417302687421,93300,96433,0.98,94504.34,871.417302687421,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"HepB_BD",0.91,"HepB",0.00661136776165548,87754.03,580.174164897348,93300,96433,0.91,87754.03,580.174164897348,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"Hib3",0.99,"Hib",0.000195776312723885,95468.67,18.6905041932534,93300,96433,0.99,95468.67,18.6905041932534,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"MCV1",0.99,"Measles",0.00310975084252087,95468.67,296.883776966847,93300,96433,0.99,95468.67,296.883776966847,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"MCV2",0.94,"Measles",0.000553759283986142,95468.67,52.8666623423093,93300,96433,0.99,90647.02,50.1966288906775,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"PCV3",0.99,"PCV",0.000194623487319789,95468.67,18.5804454851821,93300,96433,0.99,95468.67,18.5804454851821,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"Rota",0.92,"Rota",5.94930621022314e-05,88718.36,5.27812690108812,93300,96433,0.92,88718.36,5.27812690108812,"United Arab Emirates","EMRO","High income"
"ARE",2019,0,3,"Rubella",0.99,"Rubella",0.00348203718894946,95468.67,332.425459319544,93300,96433,0.99,95468.67,332.425459319544,"United Arab Emirates","EMRO","High income"
"ARE",2019,9,3,"HPV",0.27,"HPV",0.00137263673150757,11970.18,16.4307087507573,97201,44334,0.27,11970.18,16.4307087507573,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"BCG",0.86,"TB",0.000715708567104573,92076.76,65.9001259632317,92994,97954,0.94,84240.44,60.2916046046588,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"DTP3",0.9,"D",0.000206713702512677,96974.46,20.0459496757675,92994,97954,0.99,88158.6,18.2235906143341,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"DTP3",0.9,"P",0.00321134195473603,96974.46,311.418151935871,92994,97954,0.99,88158.6,283.107410850792,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"DTP3",0.9,"T",0.000288044432144673,96974.46,27.9329532632363,92994,97954,0.99,88158.6,25.3935938756694,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"HepB",0.91,"HepB",0.0092209236389294,95994.92,885.161827045137,92994,97954,0.98,89138.14,821.935982256198,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"HepB_BD",0.83,"HepB",0.00661136776165548,89138.14,589.325025129933,92994,97954,0.91,81301.82,537.516231711917,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"Hib3",0.9,"Hib",0.000195776312723885,96974.46,18.9853022071899,92994,97954,0.99,88158.6,17.2593656428999,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"MCV1",0.99,"Measles",0.00310975084252087,96974.46,301.566408688006,92994,97954,0.99,96974.46,301.566408688006,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"MCV2",0.92,"Measles",0.000553759283986142,96974.46,53.7005075345428,92994,97954,0.99,90117.68,49.9035019512923,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"PCV3",0.84,"PCV",0.000194623487319789,96974.46,18.8735075861534,92994,97954,0.99,82281.36,16.013885224615,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"Rota",0.86,"Rota",5.94930621022314e-05,90117.68,5.36137673274902,92994,97954,0.92,84240.44,5.0117217284393,"United Arab Emirates","EMRO","High income"
"ARE",2020,0,3,"Rubella",0.99,"Rubella",0.00348203718894946,96974.46,337.668676098292,92994,97954,0.99,96974.46,337.668676098292,"United Arab Emirates","EMRO","High income"
"ARE",2020,11,3,"HPV",0.29,"HPV",0.00137263673150757,9635.47918587174,13.2260126562042,95808,40698,0.236755594522378,11802.42,16.2004352126796,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"BCG",0.99,"TB",0.000715708567104573,92254.42,66.0272787472635,94564,98143,0.94,97161.57,69.5393680423307,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"DTP3",0.96,"D",0.000206713702512677,97161.57,20.0846278766446,94564,98143,0.99,94217.28,19.4760027894736,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"DTP3",0.96,"P",0.00321134195473603,97161.57,312.019026129022,94564,98143,0.99,94217.28,302.563904125112,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"DTP3",0.96,"T",0.000288044432144673,97161.57,27.9868492569349,94564,98143,0.99,94217.28,27.1387629158157,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"HepB",0.95,"HepB",0.0092209236389294,96180.14,886.869726521539,94564,98143,0.98,93235.85,859.720653260676,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"HepB_BD",0.96,"HepB",0.00661136776165548,89310.13,590.46211427126,94564,98143,0.91,94217.28,622.905087582868,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"Hib3",0.96,"Hib",0.000195776312723885,97161.57,19.0219339130636,94564,98143,0.99,94217.28,18.4455116732738,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"MCV1",0.99,"Measles",0.00310975084252087,97161.57,302.14827416815,94564,98143,0.99,97161.57,302.14827416815,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"MCV2",0.96,"Measles",0.000553759283986142,97161.57,53.8041214341694,94564,98143,0.99,94217.28,52.1736935119219,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"PCV3",0.95,"PCV",0.000194623487319789,97161.57,18.9099235868658,94564,98143,0.99,93235.85,18.1458862702248,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"Rota",0.91,"Rota",5.94930621022314e-05,90291.56,5.37172138638735,94564,98143,0.92,89310.13,5.31333311044836,"United Arab Emirates","EMRO","High income"
"ARE",2021,0,3,"Rubella",0.99,"Rubella",0.00348203718894946,97161.57,338.320200076716,94564,98143,0.99,97161.57,338.320200076716,"United Arab Emirates","EMRO","High income"
"ARE",2021,11,3,"HPV",0,"HPV",0.00137263673150757,12660.2841157755,17.3779710086353,97119,43528,0.290853797918018,0,0,"United Arab Emirates","EMRO","High income"
"ARG",2019,0,3,"BCG",0.85,"TB",0.000157589485619826,621635.25,97.963179290652,744687,668425,0.93,568161.25,89.5362391366174,"Argentina","PAHO","Upper middle income"
"ARG",2019,0,3,"DTP3",0.83,"D",4.63361645335994e-05,574845.5,26.6361356693992,744687,668425,0.86,554792.75,25.7069681460481,"Argentina","PAHO","Upper middle income"
"ARG",2019,0,3,"DTP3",0.83,"P",0.00140914298407339,574845.5,810.03950325116,744687,668425,0.86,554792.75,781.782311277282,"Argentina","PAHO","Upper middle income"
"ARG",2019,0,3,"DTP3",0.83,"T",0.000165169286859717,574845.5,94.9468212895174,744687,668425,0.86,554792.75,91.6347228724413,"Argentina","PAHO","Upper middle income"
"ARG",2019,0,3,"HepB",0.83,"HepB",0.0092445141846098,574845.5,5314.16737870911,744687,668425,0.86,554792.75,5128.78944689368,"Argentina","PAHO","Upper middle income"
"ARG",2019,0,3,"HepB_BD",0.77,"HepB",0.00413034945955108,548108.5,2263.87964675035,744687,668425,0.82,514687.25,2125.83820487533,"Argentina","PAHO","Upper middle income"
"ARG",2019,0,3,"Hib3",0.83,"Hib",0.000392925163192874,574845.5,225.871261898189,744687,668425,0.86,554792.75,217.992031831973,"Argentina","PAHO","Upper middle income"
"ARG",2019,0,3,"MCV1",0.86,"Measles",0.00556526466773704,628319.5,3496.7643134002,744687,668425,0.94,574845.5,3199.16735055763,"Argentina","PAHO","Upper middle income"
